date,campaign_name,amount,description
2026-09-01,Sonrie Trujillo Septiembre,145.50,Meta Ads - segmentacion Trujillo
2026-09-02,Sonrie Trujillo Septiembre,162.00,Meta Ads - video evaluacion
2026-09-03,Evaluacion Dental Trujillo,98.75,Google Ads - busqueda local
2026-09-04,Evaluacion Dental Trujillo,110.20,Google Ads - palabras odontologia
2026-09-05,Sonrie Trujillo Septiembre,134.90,Meta Ads - remarketing
2026-09-01,Sonrie Trujillo Septiembre,112.25,Pauta digital local Trujillo - lote 0001
2026-09-02,Evaluacion Dental Trujillo,149.50,Pauta digital local Trujillo - lote 0002
2026-09-03,Sonrie Trujillo Septiembre,186.75,Pauta digital local Trujillo - lote 0003
2026-09-04,Evaluacion Dental Trujillo,223.00,Pauta digital local Trujillo - lote 0004
2026-09-05,Sonrie Trujillo Septiembre,260.25,Pauta digital local Trujillo - lote 0005
2026-09-06,Evaluacion Dental Trujillo,77.50,Pauta digital local Trujillo - lote 0006
2026-09-07,Sonrie Trujillo Septiembre,114.75,Pauta digital local Trujillo - lote 0007
2026-09-08,Evaluacion Dental Trujillo,151.00,Pauta digital local Trujillo - lote 0008
2026-09-09,Sonrie Trujillo Septiembre,188.25,Pauta digital local Trujillo - lote 0009
2026-09-10,Evaluacion Dental Trujillo,225.50,Pauta digital local Trujillo - lote 0010
2026-09-11,Sonrie Trujillo Septiembre,262.75,Pauta digital local Trujillo - lote 0011
2026-09-12,Evaluacion Dental Trujillo,79.00,Pauta digital local Trujillo - lote 0012
2026-09-13,Sonrie Trujillo Septiembre,116.25,Pauta digital local Trujillo - lote 0013
2026-09-14,Evaluacion Dental Trujillo,153.50,Pauta digital local Trujillo - lote 0014
2026-09-15,Sonrie Trujillo Septiembre,190.75,Pauta digital local Trujillo - lote 0015
2026-09-16,Evaluacion Dental Trujillo,227.00,Pauta digital local Trujillo - lote 0016
2026-09-17,Sonrie Trujillo Septiembre,264.25,Pauta digital local Trujillo - lote 0017
